area,avg_size,cars_per_apartment,cars_per_house,median_age_males,median_females,median_income,median_rent,mf_pop,never_married_females_over_15,never_married_males_over_15,percent_born_in _state,percent_born_in_other_state,percent_do_not_speak_english_well,percent_foreign_born,percent_married,percent_mortgage,percent_single_mothers,population
Area: 0.040 square miles,,,,,,,,,,,,,,,,,,
Area: 0.009 square miles,Average household size:Boesen Gardens:1.9 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:36.3 yearsWhole city:33.1 years,Females:This neighborhood:39.0 yearsWhole city:35.7 years,"Boesen Gardens:$73,750Des Moines:$49,203",Boesen Gardens:$719Des Moines:$690,Males:19Females:22,Boesen Gardens:16.3%city:18.9%,Boesen Gardens:16.9%Des Moines:21.7%,Here:79.2%Des Moines:66.5%,Boesen Gardens:18.4%Des Moines:20.3%,Boesen Gardens:0.0%Des Moines:4.7%,Here:0.2%city:1.0%,Here:39.1%Des Moines:36.2%,Boesen Gardens:89.4%Des Moines:69.8%,Boesen Gardens:9.5%Des Moines:13.8%,Population: 42
Area: 0.032 square miles,,,,,,,,,,,,,,,,,,
Area: 0.071 square miles,,,,,,,,,,,,,,,,,,
Area: 0.040 square miles,Average household size:Briarwood Heights:2.2 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.4Des Moines:2.0,Median age:Males:This neighborhood:25.0 yearsWhole city:33.1 years,Females:This neighborhood:31.3 yearsWhole city:35.7 years,"Briarwood Heights:$38,555Des Moines:$49,203",Briarwood Heights:$786Des Moines:$690,Males:8Females:12,Briarwood Heights:30.6%city:18.9%,Briarwood Heights:23.7%Des Moines:21.7%,Here:61.6%Des Moines:66.5%,Briarwood Heights:22.1%Des Moines:20.3%,Briarwood Heights:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:27.9%Des Moines:36.2%,Briarwood Heights:52.1%Des Moines:69.8%,Briarwood Heights:30.9%Des Moines:13.8%,Population: 20
Area: 0.005 square miles,Average household size:Brightwell Plaza:2.4 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:37.5 yearsWhole city:33.1 years,Females:This neighborhood:32.0 yearsWhole city:35.7 years,"Brightwell Plaza:$57,431Des Moines:$49,203",Brightwell Plaza:$675Des Moines:$690,Males:5Females:7,Brightwell Plaza:21.5%city:18.9%,Brightwell Plaza:14.7%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Brightwell Plaza:26.8%Des Moines:20.3%,Brightwell Plaza:0.0%Des Moines:4.7%,Here:0.3%city:1.0%,Here:34.3%Des Moines:36.2%,Brightwell Plaza:78.3%Des Moines:69.8%,Brightwell Plaza:30.4%Des Moines:13.8%,Population: 13
Area: 0.249 square miles,Average household size:Broadacre:2.6 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:39.0 yearsWhole city:33.1 years,Females:This neighborhood:37.3 yearsWhole city:35.7 years,"Broadacre:$49,689Des Moines:$49,203",Broadacre:$666Des Moines:$690,Males:335Females:296,Broadacre:14.4%city:18.9%,Broadacre:16.2%Des Moines:21.7%,Here:72.6%Des Moines:66.5%,Broadacre:20.7%Des Moines:20.3%,Broadacre:4.8%Des Moines:4.7%,Here:0.2%city:1.0%,Here:35.2%Des Moines:36.2%,Broadacre:62.8%Des Moines:69.8%,Broadacre:26.5%Des Moines:13.8%,Population: 631
Area: 0.130 square miles,Average household size:Broadmoor:1.9 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:36.3 yearsWhole city:33.1 years,Females:This neighborhood:39.0 yearsWhole city:35.7 years,"Broadmoor:$73,750Des Moines:$49,203",Broadmoor:$719Des Moines:$690,Males:298Females:347,Broadmoor:16.3%city:18.9%,Broadmoor:16.9%Des Moines:21.7%,Here:69.4%Des Moines:66.5%,Broadmoor:27.8%Des Moines:20.3%,,Here:2.1%city:1.0%,Here:39.1%Des Moines:36.2%,Broadmoor:89.4%Des Moines:69.8%,Broadmoor:9.5%Des Moines:13.8%,Population: 645
Area: 0.063 square miles,Average household size:Broadway Acres:2.2 peopleDes Moines:2.5 people,Here:0.7city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:38.7 yearsWhole city:33.1 years,Females:This neighborhood:51.7 yearsWhole city:35.7 years,"Broadway Acres:$51,250Des Moines:$49,203",Broadway Acres:$605Des Moines:$690,Males:17Females:12,Broadway Acres:6.9%city:18.9%,Broadway Acres:14.9%Des Moines:21.7%,Here:81.1%Des Moines:66.5%,Broadway Acres:14.7%Des Moines:20.3%,Broadway Acres:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:55.1%Des Moines:36.2%,Broadway Acres:62.5%Des Moines:69.8%,Broadway Acres:11.8%Des Moines:13.8%,Population: 29
Area: 0.247 square miles,Average household size:Brook Run:2.2 peopleDes Moines:2.5 people,Here:1.5city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:38.6 yearsWhole city:33.1 years,Females:This neighborhood:45.9 yearsWhole city:35.7 years,"Brook Run:$42,692Des Moines:$49,203",Brook Run:$605Des Moines:$690,Males:62Females:82,Brook Run:13.8%city:18.9%,Brook Run:19.0%Des Moines:21.7%,Here:81.1%Des Moines:66.5%,Brook Run:14.7%Des Moines:20.3%,,Here:0.4%city:1.0%,Here:29.7%Des Moines:36.2%,Brook Run:22.4%Des Moines:69.8%,Brook Run:14.7%Des Moines:13.8%,Population: 145
Area: 0.003 square miles,Average household size:Brookfield:2.8 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:2.3Des Moines:2.0,Median age:Males:This neighborhood:30.7 yearsWhole city:33.1 years,Females:This neighborhood:32.6 yearsWhole city:35.7 years,"Brookfield:$58,424Des Moines:$49,203",Brookfield:$609Des Moines:$690,Males:8Females:7,Brookfield:11.0%city:18.9%,Brookfield:20.8%Des Moines:21.7%,Here:69.9%Des Moines:66.5%,Brookfield:22.9%Des Moines:20.3%,Brookfield:0.0%Des Moines:4.7%,Here:0.2%city:1.0%,Here:50.4%Des Moines:36.2%,Brookfield:68.7%Des Moines:69.8%,Brookfield:1.7%Des Moines:13.8%,Population: 16
Area: 0.108 square miles,Average household size:Brookline Heights:2.3 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:37.3 yearsWhole city:33.1 years,Females:This neighborhood:37.8 yearsWhole city:35.7 years,"Brookline Heights:$53,447Des Moines:$49,203",Brookline Heights:$765Des Moines:$690,Males:148Females:157,Brookline Heights:10.9%city:18.9%,Brookline Heights:22.0%Des Moines:21.7%,Here:71.4%Des Moines:66.5%,Brookline Heights:25.1%Des Moines:20.3%,Brookline Heights:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:38.5%Des Moines:36.2%,Brookline Heights:72.3%Des Moines:69.8%,Brookline Heights:6.8%Des Moines:13.8%,Population: 305
Area: 0.018 square miles,Average household size:Brookmont Acres:3.1 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:17.1 yearsWhole city:33.1 years,Females:This neighborhood:33.8 yearsWhole city:35.7 years,"Brookmont Acres:$46,425Des Moines:$49,203","Brookmont Acres:$1,028Des Moines:$690",Males:64Females:50,Brookmont Acres:28.8%city:18.9%,Brookmont Acres:24.8%Des Moines:21.7%,Here:78.3%Des Moines:66.5%,Brookmont Acres:18.6%Des Moines:20.3%,Brookmont Acres:0.0%Des Moines:4.7%,Here:0.8%city:1.0%,Here:29.2%Des Moines:36.2%,Brookmont Acres:80.6%Des Moines:69.8%,Brookmont Acres:19.3%Des Moines:13.8%,Population: 115
Area: 0.757 square miles,Average household size:Brooks:3.0 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:33.8 yearsWhole city:33.1 years,Females:This neighborhood:31.3 yearsWhole city:35.7 years,"Brooks:$37,669Des Moines:$49,203",Brooks:$579Des Moines:$690,"Males:1,920Females:2,255",Brooks:24.8%city:18.9%,Brooks:23.2%Des Moines:21.7%,Here:58.0%Des Moines:66.5%,Brooks:18.8%Des Moines:20.3%,Brooks:6.5%Des Moines:4.7%,Here:3.4%city:1.0%,Here:27.8%Des Moines:36.2%,Brooks:41.1%Des Moines:69.8%,Brooks:15.6%Des Moines:13.8%,"Population: 4,176"
Area: 0.096 square miles,Average household size:Brown's Woods:2.0 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:46.1 yearsWhole city:33.1 years,Females:This neighborhood:53.3 yearsWhole city:35.7 years,"Brown's Woods:$81,347Des Moines:$49,203",Brown's Woods:$780Des Moines:$690,Males:133Females:154,Brown's Woods:5.9%city:18.9%,Brown's Woods:4.1%Des Moines:21.7%,Here:56.0%Des Moines:66.5%,Brown's Woods:36.4%Des Moines:20.3%,Brown's Woods:0.0%Des Moines:4.7%,Here:0.7%city:1.0%,Here:57.6%Des Moines:36.2%,Brown's Woods:63.0%Des Moines:69.8%,Brown's Woods:1.9%Des Moines:13.8%,Population: 287
Area: 0.031 square miles,Average household size:Brownstone Estates:2.2 peopleDes Moines:2.5 people,Here:0.7city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:38.7 yearsWhole city:33.1 years,Females:This neighborhood:51.7 yearsWhole city:35.7 years,"Brownstone Estates:$51,250Des Moines:$49,203",Brownstone Estates:$605Des Moines:$690,Males:8Females:6,Brownstone Estates:6.9%city:18.9%,Brownstone Estates:14.9%Des Moines:21.7%,Here:81.1%Des Moines:66.5%,Brownstone Estates:14.7%Des Moines:20.3%,Brownstone Estates:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:55.1%Des Moines:36.2%,Brownstone Estates:62.5%Des Moines:69.8%,Brownstone Estates:12.0%Des Moines:13.8%,Population: 14
Area: 0.034 square miles,Average household size:Bryn Mawr:2.4 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:41.1 yearsWhole city:33.1 years,Females:This neighborhood:36.5 yearsWhole city:35.7 years,"Bryn Mawr:$70,539Des Moines:$49,203",Bryn Mawr:$785Des Moines:$690,Males:87Females:101,Bryn Mawr:25.7%city:18.9%,Bryn Mawr:11.5%Des Moines:21.7%,Here:52.0%Des Moines:66.5%,Bryn Mawr:35.1%Des Moines:20.3%,Bryn Mawr:6.3%Des Moines:4.7%,Here:3.1%city:1.0%,Here:50.6%Des Moines:36.2%,Bryn Mawr:72.9%Des Moines:69.8%,Bryn Mawr:10.6%Des Moines:13.8%,Population: 188
Area: 0.011 square miles,Average household size:Burke-Wood:2.5 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:41.5 yearsWhole city:33.1 years,Females:This neighborhood:39.5 yearsWhole city:35.7 years,"Burke-Wood:$77,941Des Moines:$49,203",Burke-Wood:$742Des Moines:$690,Males:19Females:29,Burke-Wood:13.4%city:18.9%,Burke-Wood:2.5%Des Moines:21.7%,Here:64.7%Des Moines:66.5%,Burke-Wood:31.1%Des Moines:20.3%,Burke-Wood:0.0%Des Moines:4.7%,Here:0.7%city:1.0%,Here:52.1%Des Moines:36.2%,Burke-Wood:75.4%Des Moines:69.8%,Burke-Wood:12.5%Des Moines:13.8%,Population: 49
Area: 0.008 square miles,Average household size:Burkhardt Heights:3.6 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.7Des Moines:2.0,Median age:Males:This neighborhood:20.9 yearsWhole city:33.1 years,Females:This neighborhood:22.8 yearsWhole city:35.7 years,"Burkhardt Heights:$31,859Des Moines:$49,203",Burkhardt Heights:$724Des Moines:$690,Males:33Females:36,Burkhardt Heights:14.4%city:18.9%,Burkhardt Heights:21.9%Des Moines:21.7%,Here:51.1%Des Moines:66.5%,Burkhardt Heights:21.1%Des Moines:20.3%,Burkhardt Heights:15.8%Des Moines:4.7%,Here:0.0%city:1.0%,Here:29.8%Des Moines:36.2%,Burkhardt Heights:61.2%Des Moines:69.8%,Burkhardt Heights:8.9%Des Moines:13.8%,Population: 69
Area: 0.001 square miles,Average household size:Busch's Heights:3.8 peopleDes Moines:2.5 people,Here:2.4city:1.3,This neighborhood:2.2Des Moines:2.0,Median age:Males:This neighborhood:19.6 yearsWhole city:33.1 years,Females:This neighborhood:19.6 yearsWhole city:35.7 years,"Busch's Heights:$30,787Des Moines:$49,203",Busch's Heights:$657Des Moines:$690,Males:8Females:8,Busch's Heights:49.1%city:18.9%,Busch's Heights:36.0%Des Moines:21.7%,Here:51.0%Des Moines:66.5%,Busch's Heights:26.4%Des Moines:20.3%,Busch's Heights:0.0%Des Moines:4.7%,Here:2.2%city:1.0%,Here:36.1%Des Moines:36.2%,Busch's Heights:67.7%Des Moines:69.8%,Busch's Heights:0.3%Des Moines:13.8%,Population: 16
Area: 0.016 square miles,,,,,,,,,,,,,,,,,,
Area: 0.074 square miles,,,,,,,,,,,,,,,,,,
Area: 0.005 square miles,Average household size:Campbell Heights:2.7 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:2.3Des Moines:2.0,Median age:Males:This neighborhood:28.5 yearsWhole city:33.1 years,Females:This neighborhood:40.4 yearsWhole city:35.7 years,"Campbell Heights:$44,028Des Moines:$49,203",Campbell Heights:$622Des Moines:$690,Males:7Females:7,Campbell Heights:11.3%city:18.9%,Campbell Heights:13.6%Des Moines:21.7%,Here:75.9%Des Moines:66.5%,Campbell Heights:12.3%Des Moines:20.3%,Campbell Heights:0.0%Des Moines:4.7%,Here:0.3%city:1.0%,Here:37.6%Des Moines:36.2%,Campbell Heights:55.8%Des Moines:69.8%,Campbell Heights:8.7%Des Moines:13.8%,Population: 15
Area: 0.047 square miles,Average household size:Campus Park:2.9 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:33.7 yearsWhole city:33.1 years,Females:This neighborhood:37.4 yearsWhole city:35.7 years,"Campus Park:$43,575Des Moines:$49,203",Campus Park:$704Des Moines:$690,Males:157Females:173,Campus Park:19.1%city:18.9%,Campus Park:21.3%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Campus Park:15.4%Des Moines:20.3%,Campus Park:14.8%Des Moines:4.7%,Here:1.3%city:1.0%,Here:42.8%Des Moines:36.2%,Campus Park:62.9%Des Moines:69.8%,Campus Park:8.5%Des Moines:13.8%,Population: 330
Area: 0.207 square miles,Average household size:Capital:19.2 peopleDes Moines:2.5 people,Here:1.6city:1.3,This neighborhood:2.6Des Moines:2.0,Median age:Males:This neighborhood:31.1 yearsWhole city:33.1 years,Females:This neighborhood:33.7 yearsWhole city:35.7 years,"Capital:$50,549Des Moines:$49,203",Capital:$663Des Moines:$690,Males:763Females:552,Capital:15.7%city:18.9%,Capital:32.5%Des Moines:21.7%,Here:48.7%Des Moines:66.5%,Capital:15.0%Des Moines:20.3%,Capital:14.4%Des Moines:4.7%,Here:0.4%city:1.0%,Here:40.3%Des Moines:36.2%,Capital:73.6%Des Moines:69.8%,Capital:9.4%Des Moines:13.8%,"Population: 1,315"
Area: 0.596 square miles,Average household size:Capitol East:3.1 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:29.0 yearsWhole city:33.1 years,Females:This neighborhood:30.9 yearsWhole city:35.7 years,"Capitol East:$33,539Des Moines:$49,203",Capitol East:$633Des Moines:$690,"Males:1,540Females:1,795",Capitol East:23.4%city:18.9%,Capitol East:20.2%Des Moines:21.7%,Here:58.4%Des Moines:66.5%,Capitol East:18.7%Des Moines:20.3%,Capitol East:7.6%Des Moines:4.7%,Here:3.4%city:1.0%,Here:31.7%Des Moines:36.2%,Capitol East:46.4%Des Moines:69.8%,Capitol East:16.0%Des Moines:13.8%,"Population: 3,336"
Area: 0.507 square miles,Average household size:Capitol Heights:2.4 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:33.8 yearsWhole city:33.1 years,Females:This neighborhood:39.4 yearsWhole city:35.7 years,"Capitol Heights:$45,939Des Moines:$49,203",Capitol Heights:$684Des Moines:$690,Males:261Females:329,Capitol Heights:19.9%city:18.9%,Capitol Heights:21.9%Des Moines:21.7%,Here:77.6%Des Moines:66.5%,Capitol Heights:15.3%Des Moines:20.3%,Capitol Heights:0.6%Des Moines:4.7%,Here:0.5%city:1.0%,Here:21.4%Des Moines:36.2%,Capitol Heights:34.1%Des Moines:69.8%,Capitol Heights:26.1%Des Moines:13.8%,Population: 591
Area: 0.550 square miles,Average household size:Capitol Park:3.4 peopleDes Moines:2.5 people,Here:1.6city:1.3,This neighborhood:2.7Des Moines:2.0,Median age:Males:This neighborhood:26.3 yearsWhole city:33.1 years,Females:This neighborhood:30.3 yearsWhole city:35.7 years,"Capitol Park:$42,366Des Moines:$49,203",Capitol Park:$660Des Moines:$690,"Males:1,973Females:1,425",Capitol Park:15.7%city:18.9%,Capitol Park:32.5%Des Moines:21.7%,Here:48.6%Des Moines:66.5%,Capitol Park:15.1%Des Moines:20.3%,Capitol Park:16.5%Des Moines:4.7%,Here:0.4%city:1.0%,Here:40.0%Des Moines:36.2%,Capitol Park:74.3%Des Moines:69.8%,Capitol Park:9.6%Des Moines:13.8%,"Population: 3,398"
Area: 0.063 square miles,Average household size:Capitol View Acres:2.8 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:35.3 yearsWhole city:33.1 years,Females:This neighborhood:42.3 yearsWhole city:35.7 years,"Capitol View Acres:$71,754Des Moines:$49,203",Capitol View Acres:$839Des Moines:$690,Males:50Females:45,Capitol View Acres:8.2%city:18.9%,Capitol View Acres:17.5%Des Moines:21.7%,Here:70.4%Des Moines:66.5%,Capitol View Acres:22.7%Des Moines:20.3%,Capitol View Acres:0.0%Des Moines:4.7%,Here:0.8%city:1.0%,Here:61.9%Des Moines:36.2%,Capitol View Acres:76.2%Des Moines:69.8%,Capitol View Acres:1.9%Des Moines:13.8%,Population: 96
Area: 0.167 square miles,Average household size:Carman Estates:2.8 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:35.3 yearsWhole city:33.1 years,Females:This neighborhood:42.3 yearsWhole city:35.7 years,"Carman Estates:$71,754Des Moines:$49,203",Carman Estates:$839Des Moines:$690,Males:134Females:122,Carman Estates:8.2%city:18.9%,Carman Estates:17.5%Des Moines:21.7%,Here:70.4%Des Moines:66.5%,Carman Estates:22.7%Des Moines:20.3%,Carman Estates:0.4%Des Moines:4.7%,Here:0.8%city:1.0%,Here:61.9%Des Moines:36.2%,Carman Estates:76.2%Des Moines:69.8%,Carman Estates:1.9%Des Moines:13.8%,Population: 257
Area: 0.048 square miles,Average household size:Carmel Heights:2.6 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.6Des Moines:2.0,Median age:Males:This neighborhood:32.2 yearsWhole city:33.1 years,Females:This neighborhood:35.1 yearsWhole city:35.7 years,"Carmel Heights:$58,340Des Moines:$49,203",Carmel Heights:$566Des Moines:$690,Males:143Females:130,Carmel Heights:3.0%city:18.9%,Carmel Heights:16.5%Des Moines:21.7%,Here:61.8%Des Moines:66.5%,Carmel Heights:19.3%Des Moines:20.3%,Carmel Heights:23.3%Des Moines:4.7%,Here:2.6%city:1.0%,Here:47.3%Des Moines:36.2%,Carmel Heights:62.4%Des Moines:69.8%,Carmel Heights:13.0%Des Moines:13.8%,Population: 273
Area: 0.019 square miles,Average household size:Carmichael Heights:2.1 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:36.6 yearsWhole city:33.1 years,Females:This neighborhood:34.7 yearsWhole city:35.7 years,"Carmichael Heights:$31,902Des Moines:$49,203",Carmichael Heights:$605Des Moines:$690,Males:12Females:10,Carmichael Heights:16.1%city:18.9%,Carmichael Heights:14.2%Des Moines:21.7%,Here:81.1%Des Moines:66.5%,Carmichael Heights:14.7%Des Moines:20.3%,Carmichael Heights:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:36.5%Des Moines:36.2%,Carmichael Heights:50.8%Des Moines:69.8%,Carmichael Heights:6.3%Des Moines:13.8%,Population: 23
Area: 0.075 square miles,Average household size:Carpenter:2.9 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:25.9 yearsWhole city:33.1 years,Females:This neighborhood:24.8 yearsWhole city:35.7 years,"Carpenter:$19,946Des Moines:$49,203",Carpenter:$541Des Moines:$690,Males:342Females:324,Carpenter:25.8%city:18.9%,Carpenter:27.3%Des Moines:21.7%,Here:50.8%Des Moines:66.5%,Carpenter:26.3%Des Moines:20.3%,Carpenter:19.7%Des Moines:4.7%,Here:2.2%city:1.0%,Here:9.5%Des Moines:36.2%,Carpenter:58.2%Des Moines:69.8%,Carpenter:33.3%Des Moines:13.8%,Population: 666
Area: 0.019 square miles,Average household size:Carter Estates:3.3 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.5Des Moines:2.0,Median age:Males:This neighborhood:32.3 yearsWhole city:33.1 years,Females:This neighborhood:33.3 yearsWhole city:35.7 years,"Carter Estates:$66,554Des Moines:$49,203",Carter Estates:$645Des Moines:$690,Males:10Females:11,Carter Estates:19.5%city:18.9%,Carter Estates:17.7%Des Moines:21.7%,Here:77.1%Des Moines:66.5%,Carter Estates:13.1%Des Moines:20.3%,Carter Estates:0.0%Des Moines:4.7%,Here:0.5%city:1.0%,Here:31.6%Des Moines:36.2%,Carter Estates:70.0%Des Moines:69.8%,Carter Estates:19.2%Des Moines:13.8%,Population: 22
Area: 0.105 square miles,Average household size:Casady's Druid Hill Park:2.2 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:36.8 yearsWhole city:33.1 years,Females:This neighborhood:51.0 yearsWhole city:35.7 years,"Casady's Druid Hill Park:$61,474Des Moines:$49,203",Casady's Druid Hill Park:$740Des Moines:$690,Males:72Females:64,Casady's Druid Hill Park:7.8%city:18.9%,Casady's Druid Hill Park:16.3%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Casady's Druid Hill Park:26.8%Des Moines:20.3%,Casady's Druid Hill Park:3.8%Des Moines:4.7%,Here:0.3%city:1.0%,Here:49.5%Des Moines:36.2%,Casady's Druid Hill Park:65.2%Des Moines:69.8%,Casady's Druid Hill Park:2.4%Des Moines:13.8%,Population: 136
Area: 0.021 square miles,Average household size:Cass Brentwood:2.1 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:48.4 yearsWhole city:33.1 years,Females:This neighborhood:56.8 yearsWhole city:35.7 years,"Cass Brentwood:$102,417Des Moines:$49,203",Cass Brentwood:$781Des Moines:$690,Males:29Females:33,Cass Brentwood:5.8%city:18.9%,Cass Brentwood:4.0%Des Moines:21.7%,Here:55.8%Des Moines:66.5%,Cass Brentwood:36.5%Des Moines:20.3%,Cass Brentwood:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:57.6%Des Moines:36.2%,Cass Brentwood:63.0%Des Moines:69.8%,Cass Brentwood:1.8%Des Moines:13.8%,Population: 62
Area: 0.008 square miles,Average household size:Cedar Knolls:2.5 peopleDes Moines:2.5 people,Here:2.1city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:29.5 yearsWhole city:33.1 years,Females:This neighborhood:41.7 yearsWhole city:35.7 years,"Cedar Knolls:$47,552Des Moines:$49,203",Cedar Knolls:$983Des Moines:$690,Males:20Females:20,Cedar Knolls:4.8%city:18.9%,Cedar Knolls:16.8%Des Moines:21.7%,Here:63.0%Des Moines:66.5%,Cedar Knolls:16.0%Des Moines:20.3%,Cedar Knolls:5.0%Des Moines:4.7%,Here:2.2%city:1.0%,Here:35.3%Des Moines:36.2%,Cedar Knolls:70.0%Des Moines:69.8%,Cedar Knolls:25.6%Des Moines:13.8%,Population: 41
Area: 0.015 square miles,,,,,,,,,,,,,,,,,,
Area: 0.034 square miles,Average household size:Central Park:2.7 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:39.8 yearsWhole city:33.1 years,Females:This neighborhood:41.8 yearsWhole city:35.7 years,"Central Park:$38,882Des Moines:$49,203",Central Park:$734Des Moines:$690,Males:111Females:122,Central Park:21.4%city:18.9%,Central Park:16.4%Des Moines:21.7%,Here:74.8%Des Moines:66.5%,Central Park:13.9%Des Moines:20.3%,Central Park:5.7%Des Moines:4.7%,Here:0.7%city:1.0%,Here:39.8%Des Moines:36.2%,Central Park:63.3%Des Moines:69.8%,Central Park:18.3%Des Moines:13.8%,Population: 234
